date,factor_id,signal,health_status,reasons,confidence,primary_score,rank_ic,half_life,fwd_ic,fwd_ret,horizon
2024-01-01,F001,keep,healthy,OK,0.72,0.3049,0.02305,9.01,0.00398,0.00199,20
2024-01-01,F002,keep,healthy,OK,0.72,0.4587,0.02198,15.861,0.01186,0.00593,20
2024-01-01,F003,retire_candidate,retire_candidate,HALF_LIFE_LT_2|HIGH_TO_FAST_DECAY,0.8,0.3925,0.01379,1.895,-0.01412,-0.00706,20
2024-01-29,F001,keep,healthy,OK,0.72,0.3299,0.02369,8.793,0.01866,0.00933,20
2024-01-29,F002,keep,healthy,OK,0.72,0.7472,0.02819,16.931,0.02115,0.01057,20
2024-01-29,F003,retire_candidate,retire_candidate,HALF_LIFE_LT_2|HIGH_TO_FAST_DECAY,0.8,0.2613,0.01032,1.062,-0.01119,-0.00559,20
2024-02-26,F001,keep,healthy,OK,0.72,0.1755,0.01488,6.287,0.01173,0.00587,20
2024-02-26,F002,keep,healthy,OK,0.72,0.4083,0.0266,14.698,0.02695,0.01348,20
2024-02-26,F003,retire_candidate,retire_candidate,IC_FLAT_NOISE,0.75,0.0017,-0.00166,1.459,-0.00854,-0.00427,20
2024-03-25,F001,keep,healthy,OK,0.72,0.5459,0.02679,8.508,0.01111,0.00556,20
2024-03-25,F002,keep,healthy,OK,0.72,0.5655,0.0318,13.687,0.03899,0.0195,20
2024-03-25,F003,retire_candidate,retire_candidate,IC_FLAT_NOISE,0.75,0.0721,-0.00366,1.761,-0.00604,-0.00302,20
2024-04-22,F001,watch,watch,HALF_LIFE_2_5,0.6,0.6612,0.02711,3.216,0.02991,0.01495,20
2024-04-22,F002,keep,healthy,OK,0.72,0.4704,0.03309,10.339,0.0321,0.01605,20
2024-04-22,F003,retire_candidate,retire_candidate,HALF_LIFE_LT_2|HIGH_TO_FAST_DECAY,0.8,0.2321,0.00642,1.747,-0.01119,-0.00559,20
2024-05-20,F001,watch,watch,HALF_LIFE_2_5,0.6,0.3921,0.02457,3.159,0.01132,0.00566,20
2024-05-20,F002,keep,healthy,OK,0.72,0.727,0.03987,13.01,0.03746,0.01873,20
2024-05-20,F003,retire_candidate,retire_candidate,HALF_LIFE_LT_2|HIGH_TO_FAST_DECAY,0.8,0.2183,0.01165,1.313,-0.01925,-0.00962,20
2024-06-17,F001,keep,healthy,OK,0.72,-0.0141,0.00677,9.36,0.00273,0.00137,20
2024-06-17,F002,keep,healthy,OK,0.72,0.9064,0.04799,15.169,0.03915,0.01957,20
2024-06-17,F003,retire_candidate,retire_candidate,IC_FLAT_NOISE,0.75,-0.1409,-0.0045,1.575,-0.009,-0.0045,20
2024-07-15,F001,keep,healthy,OK,0.72,0.0643,0.01406,8.31,0.01381,0.00691,20
2024-07-15,F002,keep,healthy,OK,0.72,0.9446,0.03522,14.498,0.03137,0.01568,20
2024-07-15,F003,rebuild_candidate,rebuild_candidate,SIGN_REVERSAL,0.7,0.3479,0.0072,1.361,-0.01807,-0.00904,20
2024-08-12,F001,keep,healthy,OK,0.72,0.1331,0.0136,7.067,0.01664,0.00832,20
2024-08-12,F002,keep,healthy,OK,0.72,0.4349,0.03278,12.823,0.03457,0.01728,20
2024-08-12,F003,watch,watch,HALF_LIFE_2_5|CAPITAL_DIVERGENT,0.6,0.9364,0.02497,2.394,-0.00286,-0.00143,20
2024-09-09,F001,keep,healthy,OK,0.72,0.1751,0.01187,6.072,0.01862,0.00931,20
2024-09-09,F002,keep,healthy,OK,0.72,0.7076,0.03657,13.54,0.02719,0.0136,20
2024-09-09,F003,retire_candidate,retire_candidate,IC_FLAT_NOISE,0.75,0.3544,0.00446,2.107,-0.01859,-0.00929,20
2024-10-07,F001,keep,healthy,OK,0.72,0.0982,0.01035,5.596,0.0155,0.00775,20
2024-10-07,F002,keep,healthy,OK,0.72,0.6592,0.02597,10.909,0.02175,0.01087,20
2024-10-07,F003,retire_candidate,retire_candidate,IC_FLAT_NOISE,0.75,0.036,-0.00155,0.876,-0.00893,-0.00446,20
2024-11-04,F001,keep,healthy,OK,0.72,0.7398,0.03579,9.254,0.04087,0.02044,20
2024-11-04,F002,keep,healthy,OK,0.72,0.6822,0.03719,11.737,0.0439,0.02195,20
2024-11-04,F003,deweight,fragile,HALF_LIFE_LT_2|CAPITAL_DIVERGENT,0.68,-0.047,0.00683,1.21,-0.01007,-0.00503,20
2024-12-02,F001,keep,healthy,OK,0.72,0.5426,0.01617,9.122,0.00659,0.00329,20
2024-12-02,F002,keep,healthy,OK,0.72,0.7695,0.04143,13.007,0.03792,0.01896,20
2024-12-02,F003,deweight,fragile,HALF_LIFE_LT_2|CAPITAL_DIVERGENT,0.68,0.3951,0.01907,1.952,-0.01293,-0.00647,20
2024-12-30,F001,keep,healthy,OK,0.72,0.0245,0.00781,8.629,-0.00397,-0.00199,20
2024-12-30,F002,keep,healthy,OK,0.72,0.6335,0.03531,11.009,0.03432,0.01716,20
2024-12-30,F003,watch,watch,HALF_LIFE_2_5|CAPITAL_DIVERGENT,0.6,0.3443,0.01837,2.372,-0.00491,-0.00246,20
2025-01-27,F001,keep,healthy,OK,0.72,0.1967,0.00916,5.934,0.0228,0.0114,20
2025-01-27,F002,keep,healthy,OK,0.72,0.4862,0.02647,12.674,0.02502,0.01251,20
2025-01-27,F003,watch,watch,HALF_LIFE_2_5|CAPITAL_DIVERGENT,0.6,0.2318,0.01706,2.155,-0.01509,-0.00754,20
2025-02-24,F001,keep,healthy,OK,0.72,0.1626,0.01471,7.564,0.00076,0.00038,20
2025-02-24,F002,keep,healthy,OK,0.72,0.9327,0.05629,15.46,0.07109,0.03554,20
2025-02-24,F003,rebuild_candidate,rebuild_candidate,SIGN_REVERSAL,0.7,-0.1896,-0.00672,1.048,-0.01331,-0.00665,20
2025-03-24,F001,watch,watch,HALF_LIFE_2_5,0.6,0.6207,0.02777,4.993,0.01261,0.0063,20
2025-03-24,F002,keep,healthy,OK,0.72,0.6124,0.03262,9.746,0.0315,0.01575,20
2025-03-24,F003,retire_candidate,retire_candidate,HALF_LIFE_LT_2|HIGH_TO_FAST_DECAY,0.8,0.3259,0.01513,1.341,-0.01275,-0.00637,20
2025-04-21,F001,watch,watch,HALF_LIFE_2_5,0.6,0.4487,0.02316,4.746,0.02278,0.01139,20
2025-04-21,F002,keep,healthy,OK,0.72,0.3805,0.02737,16.335,0.02711,0.01355,20
2025-04-21,F003,watch,watch,HALF_LIFE_2_5|CAPITAL_DIVERGENT,0.6,-0.1098,-0.01245,2.335,-0.01038,-0.00519,20
2025-05-19,F001,watch,watch,HALF_LIFE_2_5,0.6,0.3667,0.02052,3.942,0.01867,0.00933,20
2025-05-19,F002,keep,healthy,OK,0.72,0.6093,0.04971,11.851,0.04463,0.02231,20
2025-05-19,F003,retire_candidate,retire_candidate,IC_FLAT_NOISE,0.75,-0.2379,0.00128,1.509,-0.00283,-0.00142,20
2025-06-16,F001,keep,healthy,OK,0.72,0.3251,0.01671,7.8,0.02461,0.0123,20
2025-06-16,F002,keep,healthy,OK,0.72,1.0764,0.04083,11.284,0.04865,0.02433,20
2025-06-16,F003,rebuild_candidate,rebuild_candidate,SIGN_REVERSAL,0.7,0.312,0.00939,1.706,-0.00021,-0.0001,20
2025-07-14,F001,keep,healthy,OK,0.72,0.2817,0.00822,9.025,0.01635,0.00818,20
2025-07-14,F002,keep,healthy,OK,0.72,1.1233,0.04251,8.845,0.0356,0.0178,20
2025-07-14,F003,retire_candidate,retire_candidate,HALF_LIFE_LT_2|HIGH_TO_FAST_DECAY,0.8,-0.2121,-0.00672,1.809,-0.01945,-0.00973,20
2025-08-11,F001,watch,watch,HALF_LIFE_2_5,0.6,0.2241,0.02033,3.665,0.01206,0.00603,20
2025-08-11,F002,keep,healthy,OK,0.72,1.0224,0.04655,12.66,0.04015,0.02007,20
